STT,Id,Mã KH,Tên,Điện thoại,Mã Số Thuế,Nhân viên bán hàng,Khu vực,Địa chỉ,Vĩ Độ,Kinh Độ,Xã/Tỉnh mới,,,
196,198614,2AGNGANVIET,HỘ KINH DOANH NGÂN VIỆT,368921604,89195005168,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"Tổ 3, Ấp Vĩnh Phú, Xã Vĩnh An, Huyện Châu Thành, Tỉnh An Giang.","10,41435591","105,16376","Xã Vĩnh An,Tỉnh An Giang",,,
197,153731,2AGNGHIEMNHANH,HỘ KINH DOANH NGHIỆM NHANH,84384771188,1600701087,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"Ấp Thị 1, Xã Hội An, Huyện Chợ Mới, An Giang","10,4326276","105,5500516","Xã Hội An,Tỉnh An Giang",,,
198,158168,2AGNGHIEMTHUY,NGHIÊM THỦY,84918296894,89073015190,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"ẤP BÌNH CHÁNH 2, XÃ BÌNH MỸ, TỈNH AN GIANG","10,53026321","105,2425016","Xã Bình Mỹ,Tỉnh An Giang",,,
199,198304,2AGNGOCANCHI,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP NGỌC AN CHI,976830499,89088023336,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"16/1 Đường Kênh Xáng Cụt, Ấp Tân Hòa, Xã Tân Lợi, Thị Xã Tịnh Biên, Tỉnh An Giang, Việt Nam.","10,5187861","105,0699154","Phường Chi Lăng,Tỉnh An Giang",,,
200,161773,2AGNGOCBI,NGỌC BÌ,84363092064,8375218351,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"TỔ 4, ẤP HUỆ ĐỨC, XÃ CÔ TÔ, HUYỆN TRI TÔN, TỈNH AN GIANG","10,36694575","105,0419258","Xã Cô Tô,Tỉnh An Giang",,,
201,156817,2AGNGOCCATTUONG,HỘ KINH DOANH NGỌC CÁT TƯỜNG,84985962615,8725570234-001,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Đường Thất Sơn, khóm An Bình, thị trấn Ba Chúc, huyện Tri Tôn, tỉnh An Giang.","10,48565087","104,90534","Xã Ba Chúc,Tỉnh An Giang",,,
202,147552,2AGNGOCDUNG,NGỌC DŨNG,84939100997,8586241568,Lê Phước Sang,T20 - SÔNG HẬU 2,"BÌNH PHÚ, BÌNH THUỶ, CHÂU PHÚ, AN GIANG","10,5443509","105,2974125","Xã Bình Mỹ,Tỉnh An Giang",,,
203,156194,2AGNGOCHA,HỘ KINH DOANH CỬA HÀNG VTNN KỸ SƯ NGỌC HÀ,84947554199,8475611118,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"số nhà 239, đường Nguyễn Tri Phương, khóm Long Thạnh D, phường Long Thạnh, thị xã Tân Châu, tỉnh An Giang","10,79690949","105,2382975","Phường Tân Châu,Tỉnh An Giang",,,
204,198293,2AGNGOCNGA,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP NGỌC NGA,393248103,93082012570,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"Thửa Đất số 239, Tờ bản đồ số 46, Phường Mỹ Quý, Thành Phố Long Xuyên, Tỉnh An Giang, Việt Nam","10,34638691","105,4289703","Phường Long Xuyên,Tỉnh An Giang",,,
205,198545,2AGNGOCQUY,HỘ KINH DOANH NGỌC QUÝ,788840072,89305018007,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"Số 408, đường tỉnh 943, tổ 4, Ấp Tân Bình, Xã Tân Tuyến, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam.","10,29727279","105,1050348","Xã Cô Tô,Tỉnh An Giang",,,
207,198622,2AGNGOCTHUONG,NGỌC THƯỜNG,347477142,89081005600,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"Số 24, Ấp Phước An, Xã Ô Lâm, Huyện Tri Tôn, Tỉnh An Giang.","10,41265247","104,9949156","Xã Ô Lâm,Tỉnh An Giang",,,
208,161774,2AGNGUYENCHICONG,NGUYỄN CHÍ CÔNG,8491805894,1600471323,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"SỐ NHÀ 308, TỔ 9, ẤP PHÚ BÌNH, XÃ PHÚ VĨNH, THỊ XÃ TÂN CHÂU, TỈNH AN GIANG","10,75214915","105,2162214","Xã Châu Phong,Tỉnh An Giang",,,
209,146647,2AGNGUYENCHILOC,NGUYỄN CHÍ LỘC,84919072358,89078007852,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"ẤP TÂN BÌNH, XÃ KHÁNH BÌNH, TỈNH AN GIANG","10,94842508","105,0820748","Xã Khánh Bình,Tỉnh An Giang",,,
210,158931,2AGNGUYENCHILOI,HỘ KINH DOANH NGUYỄN CHÍ LỜI,84984328011,87081018884,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"SỐ 112, ẤP TÂN LẬP, XÃ CÔ TÔ, TỈNH AN GIANG","10,3441153","105,0779707","Xã Cô Tô,Tỉnh An Giang",,,
211,161595,2AGNGUYENHOANGNHUHAI,NGUYỄN HOÀNG NHƯ HẢI,,1600123407,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,ẤP AN QUỚI - XÃ AN THẠNH TRUNG - HUYỆN CHỢ MỚI - TỈNH AN GIANG,"10,4196282","105,4584984","Xã Long Kiến,Tỉnh An Giang",,,
212,160208,2AGNGUYENHONGCONG,NGUYỄN HỒNG CÔNG,,1601501789,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,ẤP PHÚ HẠ 1 - XÃ KIẾN THÀNH - HUYỆN CHỢ MỚI - TỈNH AN GIANG,"10,53651351","105,400161","Xã Chợ Mới,Tỉnh An Giang",,,
213,195444,2AGNGUYENHUNGPHAT,HỘ KINH DOANH NGUYÊN HƯNG PHÁT,968577552,8371365764-001,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Số 82, Tổ 4, Ấp Vĩnh Hoà, Xã Lạc Quới, Huyện Tri Tôn, An Giang","10,51407341","104,879085","Xã Ba Chúc,Tỉnh An Giang",,,
214,146648,2AGNGUYENHUUDUC,NGUYỄN HỮU ĐỨC,84918397627,89063021178,Lê Phước Sang,T20 - SÔNG HẬU 2,"ẤP LONG CHÂU, XÃ THẠNH MỸ TÂY, TỈNH AN GIANG","10,5472008","105,1493922","Xã Thạnh Mỹ Tây,Tỉnh An Giang",,,
215,197305,2AGNGUYENHUUNGHIA,HỘ KINH DOANH NGUYỄN HỮU NGHĨA,393163244,89094019071,Lê Phước Sang,T20 - SÔNG HẬU 2,"Số nhà 01, tổ 01, Ấp Bình Thới, Xã Bình Thủy, Huyện Châu Phú, Tỉnh An Giang.","10,54809089","105,3006471","Xã Bình Mỹ,Tỉnh An Giang",,,
216,147641,2AGNGUYENHUUTRI,HỘ KINH DOANH CỬA HÀNG VTNN NGUYỄN HỮU TRÍ,84982114078,89183015685,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP PHÚ HÒA 1, XÃ BÌNH HÒA, TỈNH AN GIANG","10,45148261","105,3318321","Xã Bình Hòa,Tỉnh An Giang",,,
217,153734,2AGNGUYENKHANH,NGUYỄN KHANH,84942156778,1601221196,Lê Phước Sang,T19 - SÔNG HẬU 1,"ẤP LONG PHƯỚC, XÃ Ô LONG VĨ, HUYỆN CHÂU PHÚ, TỈNH AN GIANG","10,59470218","105,1292616","Xã Thạnh Mỹ Tây,Tỉnh An Giang",,,
218,146649,2AGNGUYENMAICHI,NGUYỄN MAI CHI,84977366662,89166018548,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP HÒA BÌNH, XÃ CHỢ MỚI, TỈNH AN GIANG","10,54729576","105,3595257","Xã Chợ Mới,Tỉnh An Giang",,,
219,198305,2AGNGUYENMINH,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP NGUYỄN MINH,355842362,89093020115,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"Tổ 12, Ấp Phú Hòa, Xã Phú Hữu, Huyện An Phú, Tỉnh An Giang, Việt Nam.","10,87512509","105,1087964","Xã Phú Hữu,Tỉnh An Giang",,,
220,154378,2AGNGUYENMUOI,NGUYỄN MUỘI,84987730422,1601842330,Lê Văn Nghiệp,T20 - SÔNG HẬU 2,"ẤP TÂN BÌNH, XÃ TÂN TUYẾN, HUYỆN TRI TÔN, AN GIANG","10,293597","105,109054","Xã Cô Tô,Tỉnh An Giang",,,
221,153735,2AGNGUYENNGOCTHANH,NGUYỄN NGỌC THÀNH,84984246177,1600157798,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,ẤP MỸ HÒA B - XÃ MỸ HỘI ĐÔNG - HUYỆN CHỢ MỚI - TỈNH AN GIANG,"10,51583561","105,3422754","Xã Nhơn Mỹ,Tỉnh An Giang",,,
222,146650,2AGNGUYENPHUONGTHUY,NGUYỄN PHƯƠNG THÚY,84834797970,89177025115,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"ẤP TRUNG BẮC HƯNG,  PHƯỜNG THỚI SƠN, AN GIANG","10,65735682","105,0138682","Phường Thới Sơn,Tỉnh An Giang",,,
223,162654,2AGNGUYENQUOCKHANGEM,NGUYỄN QUỐC KHÁNG EM,984001028,1600745535,Phạm Thái Bảo,T20 - SÔNG HẬU 2,ẤP VĨNH LỢI - XÃ VĨNH THẠNH - HUYỆN CHÂU THÀNH - TỈNH AN GIANG,"10,40605741","105,2244509","Xã An Châu,Tỉnh An Giang",,,
224,199093,2AGNGUYENSANG,HỘ KINH DOANH NGUYỄN SANG,983848441,89084007984,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"Tổ 28, ấp Phú Hòa 1, Xã Bình Hòa, Huyện Châu Thành, Tỉnh An Giang","10,46081557","105,3378296","Xã Bình Hòa,Tỉnh An Giang",,,
225,153736,2AGNGUYENTANHUNG,NGUYỄN TẤN HƯNG,84939788077,1600875855,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,ẤP THẠNH TRỊ - XÃ VĨNH THẠNH TRUNG - HUYỆN CHÂU PHÚ - TỈNH AN GIANG,"10,57989697","105,2231286","Xã Vĩnh Thạnh Trung,Tỉnh An Giang",,,
226,146652,2AGNGUYENTANTHANH,NGUYỄN TẤN THÀNH,84979992424,89078009234,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"ẤP PHÚ YÊN, XÃ VĨNH XƯƠNG, TỈNH AN GIANG","10,87031114","105,1543737","Xã Vĩnh Xương,Tỉnh An Giang",,,
227,198534,2AGNGUYENTHANHGIANG,HỘ KINH DOANH CỬA HÀNG PHÂN BÓN THUỐC BẢO VỆ THỰC VẬT NGUYỄN THANH GIANG,364588397,89099007137,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"Số 32, tổ 10, Ấp Phú Hữu 1, Xã Lê Chánh, TX Tân Châu, Tỉnh An Giang","10,73584312","105,1668788","Xã Châu Phong,Tỉnh An Giang",,,
228,146531,2AGNGUYENTHANHNHAN,NGUYỄN THANH NHÀN,84919229311,89065018287,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP BÌNH TÂY 1, XÃ BÌNH THẠNH ĐÔNG, TỈNH AN GIANG","10,59291822","105,251832","Xã Bình Thạnh Đông,Tỉnh An Giang",,,
229,146654,2AGNGUYENTHANHTUAN,NGUYỄN THANH TUẤN,84765455959,89078024832,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP MỸ AN, XÃ NHƠN MỸ, TỈNH AN GIANG","10,48033493","105,3994913","Xã Nhơn Mỹ,Tỉnh An Giang",,,
230,153738,2AGNGUYENTHANHTUNG,NGUYỄN THANH TÙNG,84919773190,1600240943,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP AN NINH, XÃ  HỘI AN, HUYỆN CHỢ MỚI, TỈNH AN GIANG","10,4260483","105,5489099","Xã Hội An,Tỉnh An Giang",,,
231,153739,2AGNGUYENTHIGAM,NGUYỄN THỊ GẤM,84908544292,1601603702,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"Ấp Thị II, Xã Hội An, Huyện Chợ Mới, An Giang","10,4488364","105,5363557","Xã Hội An,Tỉnh An Giang",,,
232,146655,2AGNGUYENTHIKIMLINH,NGUYỄN THỊ KIM LINH,84965119818,89183029369,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"THỚI THUẬN, PHƯỜNG THỚI SƠN,TỈNH AN GIANG","10,60139423","105,039238","Phường Thới Sơn,Tỉnh An Giang",,,
233,157037,2AGNGUYENTHINUONG,NGUYỄN THỊ NƯỠNG,84368499815,,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"Ấp Phú Thành, xã Phú Hữu, huyện An Phú, tỉnh An Giang","10,9093799","105,084005","Xã Phú Hữu,Tỉnh An Giang",,,
234,146656,2AGNGUYENTHITUTRINH,NGUYỄN THỊ TÚ TRINH,84945246799,1600804325,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP LONG PHÚ, XÃ LONG GIANG, HUYỆN CHỢ MỚI, TỈNH AN GIANG","10,47477169","105,4580462","Xã Nhơn Mỹ,Tỉnh An Giang",,,
235,196290,2AGNGUYENTRAM,CÔNG TY TNHH DỊCH VỤ NÔNG NGHIỆP NGUYỄN TRÂM,392424899,1602160595,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP CÁI TẮC, XÃ PHÚ TÂN, TỈNH AN GIANG","10,60075355","105,3527265","Xã Phú Tân,Tỉnh An Giang",,,
236,197985,2AGNGUYENTRONGNGHIA,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP NGUYỄN TRỌNG NGHĨA,918489338,89098008466,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"Tổ 3, Ấp Phú Hiệp, Xã An Bình, Huyện Thoại Sơn, Tỉnh An Giang, Việt Nam.","10,32824074","105,1596761","Xã Tây Phú,Tỉnh An Giang",,,
237,147890,2AGNGUYENTRUNGHIEN,HỘ KINH DOANH NGUYỄN TRUNG HIỀN,84967001545,89090004574,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP VĨNH THẠNH, XÃ VĨNH HANH, TỈNH AN GIANG","10,4535048","105,2491512","Xã Vĩnh Hanh,Tỉnh An Giang",,,
238,146657,2AGNGUYENTRUNGTHO,NGUYỄN TRUNG THỌ,84919191132,89078008944,Lê Phước Sang,T20 - SÔNG HẬU 2,"TỔ 6, ẤP HƯNG THỚI, XÃ THẠNH MỸ TÂY, TỈNH AN GIANG","10,515377","105,1222494","Xã Thạnh Mỹ Tây,Tỉnh An Giang",,,
239,153741,2AGNGUYENTRUONGTON,NGUYỄN TRƯỜNG TỒN,84939171377,1601624396,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP NHƠN HIỆP, XÃ NHƠN MỸ, HUYỆN CHỢ MỚI, TỈNH AN GIANG","10,49607824","105,4060208","Xã Nhơn Mỹ,Tỉnh An Giang",,,
240,162666,2AGNGUYENVANCHO,NGUYỄN VĂN CHỚ,84982169313,1600940328,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,"VĨNH THÀNH, VĨNH TRƯỜNG, AN PHÚ, AN GIANG","10,78508287","105,1030155","Xã Vĩnh Hậu,Tỉnh An Giang",,,
241,147811,2AGNGUYENVANDANG,NGUYỄN VĂN ĐẮNG,84945888827,1602004959,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"ẤP BÌNH THẠNH, XÃ BÌNH CHÁNH, HUYỆN CHÂU PHÚ, TỈNH AN GIANG","10,5164916","105,2309476","Xã Bình Mỹ,Tỉnh An Giang",,,
242,146658,2AGNGUYENVANDU,NGUYỄN VĂN DƯ,84917253252,89195003561,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"ẤP VĨNH LỢI, XÃ CHÂU PHONG,TỈNH AN GIANG","10,7807453","105,1620103","Xã Châu Phong,Tỉnh An Giang",,,
243,153742,2AGNGUYENVANDUYEN,NGUYỄN VĂN DUYÊN,84971861241,89089017495,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP MỸ TÂN, CÙ LAO DUYÊN, TỈNH AN GIANG","10,5225838","105,4978012","Xã Cù Lao Giêng,Tỉnh An Giang",,,
244,147534,2AGNGUYENVANHAI,NGUYỄN VĂN HẢI,84939614639,1601432648,Nguyễn Vũ Linh,T19 - SÔNG HẬU 1,ẤP THẠNH PHÚ - XÃ KHÁNH AN - HUYỆN AN PHÚ - TỈNH AN GIANG,"10,95747433","105,1160423","Xã Khánh Bình,Tỉnh An Giang",,,
245,160212,2AGNGUYENVANHUNG,NGUYỄN VĂN HÙNG,,1600476177,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP LONG MỸ 1, XÃ LONG GIANG, HUYỆN CHỢ MỚI, AN GIANG","10,45996916","105,447768","Xã Nhơn Mỹ,Tỉnh An Giang",,,
246,147584,2AGNGUYENVANNHAN,NGUYỄN VĂN NHÀN,84389897771,1601418308,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"ẤP VĨNH THÀNH, XÃ VĨNH AN , HUYỆN CHÂU THÀNH, AN GIANG","10,43520796","105,1141902","Xã Vĩnh An,Tỉnh An Giang",,,
247,146659,2AGNGUYENVANPHUOC,HỘ KINH DOANH HỮU PHƯỚC,973619349,89096022308,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP AN KHÁNH, XÃ LONG KIẾN, AN GIANG","10,41311395","105,4972253","Xã Long Kiến,Tỉnh An Giang",,,
248,156983,2AGNGUYENVANQUE,NGUYỄN VĂN QUE,84988976333,89065027511,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"SỐ NHÀ 01/06, ẤP BÌNH PHƯỚC, XÃ BÌNH MỸ, TỈNH AN GIANG","10,5191611","105,2333731","Xã Bình Mỹ,Tỉnh An Giang",,,
249,161607,2AGNGUYENVANTAM,HỘ KINH DOANH NGUYỄN VĂN TÁM,84986555723,89076001972,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"ẤP VĨNH AN, XÃ VĨNH GIA, TỈNH AN GIANG","10,46330966","104,8766656","Xã Vĩnh Gia,Tỉnh An Giang",,,
250,153743,2AGNGUYENVANTAY,NGUYỄN VĂN TÂY,84949275727,89085001654,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"ẤP NÚI NƯỚC, XÃ BA CHÚC, TỈNH AN GIANG","10,50558786","104,8683519","Xã Ba Chúc,Tỉnh An Giang",,,
251,157003,2AGNGUYENVANTAY1,NGUYỄN VĂN TÂY 1,84988411455,1600799971,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Ấp Vĩnh Thuận, xã Lạc Quới, huyện Tri Tôn, tỉnh An Giang","10,49395422","104,8972041","Xã Ba Chúc,Tỉnh An Giang",,,
252,147482,2AGNGUYENVANTUONG,NGUYỄN VĂN TƯỜNG,84834040304,89182022458,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"KHÓM HÒA PHÚ 2, XÃ AN CHÂU, TỈNH AN GIANG","10,4305316","105,3795233","Xã An Châu,Tỉnh An Giang",,,
253,162689,2AGNGUYENVANVU,HKD NGUYỄN VĂN VỤ,,1601908454,Phạm Thái Bảo,T20 - SÔNG HẬU 2,"VĨNH HÒA 1, VĨNH THUẬN, CHÂU THÀNH, AN GIANG","10,36570898","105,279574","Xã Châu Thành,Tỉnh An Giang",,,
254,146660,2AGNGUYENVIETNHUSON,NGUYỄN VIẾT NHƯ SƠN,84977929026,89087011121,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP BÌNH PHÚ 2, XÃ BÌNH THẠNH ĐÔNG, TỈNH AN GIANG","10,62359012","105,2173028","Xã Bình Thạnh Đông,Tỉnh An Giang",,,
255,146661,2AGNGVANHUU,NGUYỄN VĂN HỮU,84943222443,1602136994,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"Phú Cường, Phú Thạnh, Phú Tân, An Giang","10,7221077","105,2782014","Xã Chợ Vàm,Tỉnh An Giang",,,
256,194900,2AGNHA,THANH NHÃ,84916848416,89186021509,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"ẤP KIẾN THUẬN 2, XÃ CHỢ MỚI, TỈNH AN GIANG","10,5101916","105,429731","Xã Chợ Mới,Tỉnh An Giang",,,
257,196628,2AGNHAHAN,NHÃ HÂN,939236989,89081008862,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"Tổ 02, đường Liên Xã, Ấp An Lạc, Xã An Thạnh Trung, Huyện Chợ Mới , Tỉnh An Giang, Việt Nam.","10,4303016","105,5068426","Xã Long Kiến,Tỉnh An Giang",,,
258,157004,2AGNHANNGHIA,HKD CH VTNN NHÂN NGHĨA,84706345656,89079010808,Đinh Nguyễn Quốc Triều,T19 - SÔNG HẬU 1,"KHÓM VOI 1, PHƯỜNG CHI LĂNG, TỈNH AN GIANG","10,53888557","105,0492945","Phường Chi Lăng,Tỉnh An Giang",,,
259,153744,2AGNHANTOC,NHÂN TỘC,84369638829,1601299322,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"ẤP THẠCH AN, XÃ VĨNH THẠNH TRUNG, HUYỆN CHÂU PHÚ, TỈNH AN GIANG","10,55604329","105,2054634","Xã Vĩnh Thạnh Trung,Tỉnh An Giang",,,
260,146533,2AGNHONHOA,NHƠN HÒA,84986137455,1600849573,Lê Phước Sang,T19 - SÔNG HẬU 1,"ẤP MỸ TRUNG, XÃ MỸ PHÚ, HUYỆN CHÂU PHÚ, TỈNH AN GIANG","10,61492784","105,2058457","Xã Vĩnh Thạnh Trung,Tỉnh An Giang",,,
261,195557,2AGNHUNG,ÚT NHUNG,942540045,89076017797,Nguyễn Duy Khánh (sh1),T19 - SÔNG HẬU 1,"ẤP LONG THÀNH, XÃ TÂN AN, TỈNH AN GIANG","10,79795734","105,1975463","Xã Tân An,Tỉnh An Giang",,,
262,161118,2AGNHUTANH,HỘ KINH DOANH CỬA HÀNG VẬT TƯ NÔNG NGHIỆP NHỰT ANH,0336 176378,8850190060-001,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"TỔ 4, ẤP VĨNH CẦU, XÃ VĨNH GIA, HUYỆN TRI TÔN, TỈNH AN GIANG","10,50665736","104,8028075","Xã Vĩnh Gia,Tỉnh An Giang",,,
263,197215,2AGNHUTDUY,HỘ KINH DOANH VẬT TƯ NÔNG NGHIỆP NHỰT DUY,326058813,89198006499,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"Tổ 10, Ấp Bình Quới 2, Xã Bình Thạnh Đông, Tỉnh An Giang, Việt Nam","10,5640618","105,3011502","Xã Bình Thạnh Đông,Tỉnh An Giang",,,
264,199152,2AGNONGNGHIEPMINHHONG,CÔNG TY TRÁCH NHIỆM HỮU HẠN NÔNG NGHIỆP MINH HỒNG,84812046846,1702318860,NGUYỄN HỒNG SEN,T21 - SÔNG HẬU 3,"Số 1668, Tổ 12, ấp Đông Hưng, Xã Tân Hiệp, Tỉnh An Giang, Việt Nam",,,"Xã Tân Hiệp,Tỉnh An Giang",,,
265,158946,2AGNONGPHAT,ĐẠI LÝ VẬT TƯ NÔNG NGHIỆP NÔNG PHÁT,84932945789,1600489137-001,Cao Hoàng Võ Anh Vũ,T19 - SÔNG HẬU 1,"SỐ 415, ĐƯỜNG LIÊN XÃ, TỔ 14, ẤP BÌNH THẠNH 1, XÃ HÒA AN, HUYỆN CHỢ MỚI, TỈNH AN GIANG.","10,34792248","105,4895651","Xã Hội An,Tỉnh An Giang",,,
266,198740,2AGNONGTRIPHAT,HỘ KINH DOANH NÔNG TRÍ PHÁT,916160509,89097011865,Trát Trọng Bửu,T20 - SÔNG HẬU 2,"Đường Kênh Đào, Tổ 5, Ấp Mỹ Thạnh, Xã Mỹ Đức, Tỉnh An Giang, Việt Nam","10,65617291","105,1227325","Xã Mỹ Đức,Tỉnh An Giang",,,
267,197304,2AGNONGTRU,NÔNG TRỤ,919229911,34075012909,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"Tổ 19, Ấp Tây Huề, Xã Bình Thành, Huyện Thoại Sơn, Tỉnh An Giang.","10,21342165","105,2281889","Xã Thoại Sơn,Tỉnh An Giang",,,
268,147570,2AGNTTUYETHUNG,NGUYỄN THỊ TUYẾT HƯNG,84917170019,1600686914,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"Phú Hữu, Chợ Vàm, Phú Tân, An Giang","10,71863704","105,3177553","Xã Chợ Vàm,Tỉnh An Giang",,,
269,156422,2AGPBTSCHINLIEN,CỬA HÀNG PHÂN BÓN THUỐC TRỪ SÂU CHÍN LIỀN,84907121996,1600162068,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"ẤP TRUNG PHÚ 1, VĨNH PHÚ, THOẠI SƠN, AN GIANG","10,35383062","105,3007661","Xã Định Mỹ,Tỉnh An Giang",,,
270,147475,2AGPBTSHOPTHANH,"CỬA HÀNG PHÂN BÓN, THUỐC TRỪ SÂU HỢP THÀNH",84975663181,89074002771,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"PHÚ HÒA, AN GIANG","10,2960923","105,4040602","Xã Phú Hòa,Tỉnh An Giang",,,
271,146535,2AGPBTSMINHTAN,CỬA HÀNG PHÂN BÓN- THUỐC TRỪ SÂU MINH TÂN,84942202015,1601837179,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"ẤP PHÚ THUẬN , XÃ TÂY PHÚ, HUYỆN THOẠI SƠN, AN GIANG","10,34401482","105,1672048","Xã Tây Phú,Tỉnh An Giang",,,
272,147812,2AGPBTSNGUYENVANCANH,CỬA HÀNG PHÂN BÓN - THUỐC TRỪ SÂU NGUYỄN VĂN CẢNH,84933470999,1600477371,Nguyễn Văn Hửu,T20 - SÔNG HẬU 2,"ẤP PHÚ THUẬN, XÃ TÂY PHÚ, HUYỆN THOẠI SƠN, TỈNH AN GIANG","10,33488145","105,1481996","Xã Tây Phú,Tỉnh An Giang",,,
273,146663,2AGPBTSPHUOCPHONG,CỬA HÀNG PHÂN BÓN- THUỐC TRỪ SÂU PHƯỚC PHONG,916665655,89157010750,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"ẤP TRUNG PHÚ 6, XÃ VĨNH PHÚ, HUYỆN THOẠI SƠN, AN GIANG","10,35513597","105,2176097","Xã Định Mỹ,Tỉnh An Giang",,,
274,147642,2AGPBTSTHANHSANG,CỬA HÀNG PHÂN BÓN VÀ THUỐC TRỪ SÂU THANH SANG,84983000326,89184027701,Nguyễn Hữu Giàu,T20 - SÔNG HẬU 2,"ẤP VĨNH TRUNG, XÃ VĨNH TRẠCH, HUYỆN THOẠI SƠN, AN GIANG","10,34539748","105,339623","Xã Vĩnh Trạch,Tỉnh An Giang",,,
275,198649,2AGPHAMANH,HỘ KINH DOANH PHẠM ANH,964903439,30194007517,Phạm Thanh Trương,T20 - SÔNG HẬU 2,"Tổ 24, Ấp Phước Thọ, Xã Ô Lâm, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam.",,,"Xã Ô Lâm,Tỉnh An Giang",,,
276,153746,2AGPHAMDANCHUNG,PHẠM DÂN CHÚNG,84969789357,89059004472,TRẦN VĂN NHỊN,T19 - SÔNG HẬU 1,"ẤP HOÀ AN,  XÃ HÒA LẠC, TỈNH AN GIANG","10,63909655","105,2170027","Xã Hòa Lạc,Tỉnh An Giang",,,
